Ery,Tmp,Cm,Response
14,0.15,1.05,16.85766226
14,0.15,1.2,17.04851199
14,0.15,1.35,14.91975562
14,0.2,0,25.84769775
14,0.2,0.15,30.64433749
14,0.2,0.3,28.47833708
14,0.2,0.45,25.00560025
14,0.2,0.6,18.42775792
14,0.2,0.75,11.62383197
14,0.2,0.9,14.35310546
14,0.2,1.05,12.58197876
14,0.2,1.2,12.97890265
14,0.2,1.35,11.49343529
14,0.25,0,21.58739174
14,0.25,0.15,25.7177764
14,0.25,0.3,23.80910851
14,0.25,0.45,20.75160919
14,0.25,0.6,14.46585526
14,0.25,0.75,8.311505635
14,0.25,0.9,11.4731962
14,0.25,1.05,9.865255725
14,0.25,1.2,10.38110968
14,0.25,1.35,9.360614361
17.5,0,0,34.64495278
17.5,0,0.15,37.19643725
17.5,0,0.3,34.12801939
17.5,0,0.45,30.35690309
17.5,0,0.6,21.01213288
17.5,0,0.75,17.99124187
17.5,0,0.9,13.13767018
17.5,0,1.05,8.090466493
17.5,0,1.2,5.527972495
17.5,0,1.35,4.950030087
17.5,0.05,0,34.82056204
17.5,0.05,0.15,37.28018172
17.5,0.05,0.3,34.20809805
17.5,0.05,0.45,30.50625917
17.5,0.05,0.6,21.29750271
17.5,0.05,0.75,19.05064216
17.5,0.05,0.9,14.35525372
17.5,0.05,1.05,9.57081552
17.5,0.05,1.2,7.327263426
17.5,0.05,1.35,6.781665034
17.5,0.1,0,28.40331492
17.5,0.1,0.15,30.7623362
17.5,0.1,0.3,27.79379364
17.5,0.1,0.45,24.36777403
17.5,0.1,0.6,15.56486676
17.5,0.1,0.75,14.46405512
17.5,0.1,0.9,10.26649087
17.5,0.1,1.05,6.10708672
17.5,0.1,1.2,4.551554592
17.5,0.1,1.35,4.373121246
17.5,0.15,0,24.09570242
17.5,0.15,0.15,26.37310449
17.5,0.15,0.3,23.47394051
17.5,0.15,0.45,20.24450814
17.5,0.15,0.6,11.73594081
17.5,0.15,0.75,11.52437263
17.5,0.15,0.9,7.686563726
17.5,0.15,1.05,3.988399769
17.5,0.15,1.2,2.945010864
17.5,0.15,1.35,3.019352702
17.5,0.2,0,16.07010166
17.5,0.2,0.15,18.28322933
17.5,0.2,0.3,15.51409832
17.5,0.2,0.45,12.57964853
17.5,0.2,0.6,4.482965245
17.5,0.2,0.75,5.180873202
17.5,0.2,0.9,1.853919586
17.5,0.2,1.05,-1.244578296
17.5,0.2,1.2,-1.647185792
17.5,0.2,1.35,-1.141226793
17.5,0.25,0,12.80520917
17.5,0.25,0.15,14.96717087
17.5,0.25,0.3,12.25132588
17.5,0.25,0.45,9.457348349
17.5,0.25,0.6,1.568093426
17.5,0.25,0.75,2.844074073
17.5,0.25,0.9,-0.229986096
17.5,0.25,1.05,-3.011557565
17.5,0.25,1.2,-3.066177202
17.5,0.25,1.35,-2.373976941
